eventid,iyear,imonth,iday,country,country_txt,gname,nkill,nwound,short_country_label,country_code
200801010016,2008,1,1,4,Afghanistan,Unknown,1,0,AF,93
200801010018,2008,1,1,4,Afghanistan,Taliban,1,1,AF,93
200801010019,2008,1,1,4,Afghanistan,Taliban,0,0,AF,93
200801010020,2008,1,1,4,Afghanistan,Taliban,0,0,AF,93
200801010022,2008,1,1,4,Afghanistan,Taliban,1,2,AF,93
200801010023,2008,1,1,4,Afghanistan,Taliban,0,0,AF,93
200801020009,2008,1,2,4,Afghanistan,Taliban,2,2,AF,93
200801020012,2008,1,2,4,Afghanistan,Unknown,2,0,AF,93
200801020013,2008,1,2,4,Afghanistan,Taliban,1,1,AF,93
200801020014,2008,1,2,4,Afghanistan,Unknown,2,3,AF,93
200801020016,2008,1,2,4,Afghanistan,Taliban,3,0,AF,93
200801030007,2008,1,3,4,Afghanistan,Taliban,9,13,AF,93
200801040001,2008,1,4,4,Afghanistan,Taliban,2,5,AF,93
200801040008,2008,1,4,4,Afghanistan,Unknown,0,0,AF,93
200801040009,2008,1,4,4,Afghanistan,Taliban,0,0,AF,93
200801060017,2008,1,6,4,Afghanistan,Unknown,1,0,AF,93
200801070004,2008,1,7,4,Afghanistan,Unknown,2,0,AF,93
200801070005,2008,1,7,4,Afghanistan,Unknown,2,4,AF,93
200801070022,2008,1,7,4,Afghanistan,Taliban,4,0,AF,93
200801070027,2008,1,7,4,Afghanistan,Unknown,2,4,AF,93
200801070028,2008,1,7,4,Afghanistan,Unknown,0,7,AF,93
200801070029,2008,1,7,4,Afghanistan,Unknown,0,0,AF,93
200801100005,2008,1,10,4,Afghanistan,Unknown,1,1,AF,93
200801130001,2008,1,13,4,Afghanistan,Taliban,2,0,AF,93
200801130004,2008,1,13,4,Afghanistan,Unknown,2,8,AF,93
200801130005,2008,1,13,4,Afghanistan,Taliban,11,0,AF,93
200801140002,2008,1,14,4,Afghanistan,Haqqani Network,7,0,AF,93
200801160001,2008,1,16,4,Afghanistan,Taliban,7,0,AF,93
200801190009,2008,1,19,4,Afghanistan,Taliban,2,0,AF,93
200801200001,2008,1,20,4,Afghanistan,Taliban,1,0,AF,93
200801200002,2008,1,20,4,Afghanistan,Taliban,6,3,AF,93
200801220004,2008,1,22,4,Afghanistan,Taliban,1,3,AF,93
200801220012,2008,1,22,4,Afghanistan,Unknown,1,3,AF,93
200801230006,2008,1,23,4,Afghanistan,Unknown,1,2,AF,93
200801260002,2008,1,26,4,Afghanistan,Unknown,0,0,AF,93
200801260005,2008,1,26,4,Afghanistan,Unknown,1,2,AF,93
200801270004,2008,1,27,4,Afghanistan,Unknown,1,0,AF,93
200801300002,2008,1,30,4,Afghanistan,Unknown,4,0,AF,93
200801300003,2008,1,30,4,Afghanistan,Unknown,1,4,AF,93
200801300006,2008,1,30,4,Afghanistan,Taliban,7,18,AF,93
